case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270849,109736,140,Black,1000 RPM,64.5 CFM,17.89 dB,No
270850,109737,120,Black / Purple,1650 RPM,57.24 CFM,26.4 dB,No
270851,109738,92,Black,4100 RPM,90.02 CFM,50 dB,No
270852,109739,120,Black / White,1500 RPM,47 CFM,28.7 dB,No
270853,109740,120,Black / Purple,1650 RPM,57.24 CFM,26.4 dB,No
270854,109741,120,Brown / Black,500 - 1500 RPM,64.75 CFM,10 - 21.5 dB,Yes
270855,109742,120,Clear,1300 - 2500 RPM,97.5 CFM,24.6 - 38.79 dB,No
270856,109743,120,White,1200 RPM,56.22 CFM,18.89 dB,No
270857,109744,140,Black,1000 RPM,66 CFM,18.5 dB,No
270858,109745,120,Black / Pink,1500 RPM,57.67 CFM,24.7 dB,No
270859,109746,140,Black,500 - 1500 RPM,78.9 CFM,25.6 dB,Yes
270860,109747,200,White,700 RPM,103 CFM,20 - 25 dB,No
270861,109748,140,Black / White,1440 RPM,49.49 CFM,29.3 dB,No
270862,109749,120,White,1400 RPM,74 CFM,15 dB,No
270863,109750,120,Clear,1200 RPM,39.77 CFM,19.3 dB,No
270864,109751,120,Black,1500 RPM,47 CFM,26.5 dB,No
270865,109752,92,Black,550 - 1800 RPM,43 CFM,,No
270866,109753,120,Clear,1000 RPM,36.86 CFM,18 dB,No
270867,109754,230,Black,900 RPM,156.27 CFM,25.6 dB,No
270868,109755,120,White / Black,1500 RPM,54 CFM,,No
270869,109756,140,Transparent,600 - 1600 RPM,32.04 - 62.68 CFM,15 - 20 dB,Yes
270870,109757,120,Black / Gray,600 - 1900 RPM,79.13 CFM,6.4 - 27.2 dB,Yes
270871,109758,120,Black / Orange,1500 RPM,50.28 CFM,21.1 dB,No
270872,109759,120,Black,1200 RPM,46.4 CFM,22.3 dB,No
270873,109760,220,Clear,600 RPM,110 CFM,21 dB,No
270874,109761,120,Black / White,1650 RPM,57.24 CFM,26.4 dB,No
270875,109762,120,White,700 - 1600 RPM,54.5 CFM,23.5 dB,Yes
270876,109763,120,Transparent,1200 RPM,58.47 CFM,25.15 dB,No
270877,109764,120,Black,2350 RPM,62.74 CFM,35 dB,Yes
270878,109765,120,Black / Gray,600 - 2400 RPM,24.2 - 96.8 CFM,13.5 - 39.5 dB,Yes
270879,109766,230,Black / Red,900 RPM,156.27 CFM,25.6 dB,No
270880,109767,80,Transparent,1700 RPM,30 CFM,25 dB,No
270881,109768,140,Black / Yellow,1800 RPM,104 CFM,25.3 dB,No
270882,109769,120,Black,1200 RPM,32 CFM,25 dB,No
270883,109770,120,Black / Gray,900 - 2150 RPM,20 - 68 CFM,15 - 34 dB,Yes
270884,109771,120,Black,500 - 1800 RPM,23.81 - 80 CFM,14 - 25 dB,Yes
270885,109772,120,Black,2000 RPM,78 CFM,36 dB,No
270886,109773,40,Black,5000 RPM,5.62 CFM,21 dB,No
270887,109774,140,Black / Green,800 - 1100 RPM,52.4 - 68.5 CFM,9.1 - 14.4 dB,No
270888,109775,120,White,1500 RPM,71.25 CFM,18 dB,No
270889,109776,140,Black / White,1200 RPM,82.1 CFM,19 dB,No
270890,109777,120,Orange,1200 RPM,64.37 CFM,16.6 dB,No
270891,109778,40,Black,3800 RPM,5.3 CFM,18 dB,No
270892,109779,120,Clear,1200 RPM,59.1 CFM,26.8 dB,No
270893,109780,40,Black,5000 - 5499 RPM,1 - 5 CFM,20 - 25 dB,No
270894,109781,80,Clear,2500 RPM,33.21 CFM,22.41 dB,No
270895,109782,120,Black / Yellow,600 - 1900 RPM,83.63 CFM,6.9 - 28.9 dB,Yes
270896,109783,120,Black,600 - 1400 RPM,38.73 CFM,25 dB,Yes
270897,109784,80,Black / White,1600 RPM,27.96 CFM,15 dB,No
270898,109785,120,Red,600 - 1000 RPM,21.2 - 35.3 CFM,8.9 - 19.89 dB,No
270899,109786,80,Black,1600 RPM,15.6 CFM,,No
270900,109787,120,Black,1500 RPM,50.28 CFM,21.1 dB,No
270901,109788,120,Black,1200 RPM,36.72 CFM,24.3 dB,No
270902,109789,200,Black / Red,800 RPM,129.63 CFM,28.2 dB,No
270903,109790,120,Green,1500 RPM,50.28 CFM,21.1 dB,No
270904,109791,140,Black,1200 RPM,83.93 CFM,24 dB,Yes
270905,109792,120,White,1800 RPM,51.3 CFM,22.5 dB,No
270906,109793,120,Black,500 - 1800 RPM,10.95 - 42.41 CFM,19.25 - 23.54 dB,Yes
270907,109794,120,Black / Red,1500 RPM,57.9 CFM,28 dB,Yes
270908,109795,140,Clear,1000 RPM,83.6 CFM,24.5 dB,No
270909,109796,80,Transparent,,,,No
270910,109797,120,Black,1500 - 3500 RPM,72.46 - 154.53 CFM,23 - 38 dB,No
270911,109798,200,Transparent,700 RPM,103 CFM,20 dB,No
