case_id,product_id,type,color,power_supply,side_panel_window,external_bays,internal_bays
255506,105506,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,3
255507,105507,ATX Full Tower,Black / Silver,None,Tempered Glass,0,7
255508,105508,ATX Mid Tower,White / Silver,None,Tempered Glass,0,2
255509,105509,MicroATX Mini Tower,Black,None,None,1,1
255510,105510,MicroATX Mini Tower,Red,None,Acrylic,0,2
255511,105511,ATX Mid Tower,Black / Red,None,Tempered Glass,0,3
255512,105512,Mini ITX Tower,Black,None,Tempered Glass,0,1
255513,105513,ATX Mid Tower,Black,None,Acrylic,0,2
255514,105514,ATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255515,105515,ATX Mid Tower,Silver / Black,None,Tempered Glass,0,4
255516,105516,ATX Full Tower,Gray,None,Tinted Tempered Glass,1,6
255517,105517,ATX Mid Tower,Black,None,Tempered Glass,0,2
255518,105518,ATX Mid Tower,Black,None,Tempered Glass,0,2
255519,105519,ATX Mid Tower,White / Black,None,Tempered Glass,0,3
255520,105520,MicroATX Mini Tower,Black / Red,None,Tempered Glass,0,1
255521,105521,Mini ITX Tower,Black,None,None,0,2
255522,105522,ATX Desktop,Black,None,None,0,8
255523,105523,ATX Mid Tower,White / Pink,None,Tempered Glass,0,2
255524,105524,ATX Mid Tower,Black,None,Acrylic,1,4
255525,105525,Mini ITX Tower,White,None,None,0,6
