power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
351302,137879,ATX,80+ Gold,1000 W,Semi,
351303,137880,ATX,80+ Gold,550 W,No,
351304,137881,ATX,80+ Platinum,760 W,Full,
351305,137882,ATX,80+ Gold,1200 W,Semi,
351306,137883,ATX,80+ Platinum,750 W,Full,
351307,137884,ATX,,500 W,No,Silver
351308,137885,ATX,,600 W,No,
351309,137886,ATX,80+,750 W,No,
351310,137887,Mini ITX,,250 W,No,
351311,137888,ATX,80+ Bronze,300 W,No,
351312,137889,ATX,80+,530 W,No,
351313,137890,ATX,80+ Bronze,775 W,Full,
351314,137891,ATX,80+ Bronze,500 W,No,
351315,137892,ATX,80+ Bronze,700 W,No,Black
351316,137893,ATX,80+ Gold,400 W,No,
351317,137894,ATX,80+ Bronze,650 W,No,
351318,137895,ATX,80+ Bronze,550 W,Semi,White / Black
351319,137896,ATX,80+ Gold,1500 W,Full,
351320,137897,ATX,80+ Bronze,535 W,Semi,
351321,137898,ATX,80+ Bronze,700 W,No,
351322,137899,ATX,80+ Bronze,750 W,Semi,Black
351323,137900,ATX,80+ Bronze,700 W,No,
351324,137901,ATX,80+ Platinum,1200 W,Full,
351325,137902,ATX,80+ Bronze,750 W,No,
351326,137903,ATX,80+ Bronze,700 W,Semi,
351327,137904,ATX,80+ Titanium,750 W,Full,Black
351328,137905,ATX,80+ Platinum,1000 W,Semi,
351329,137906,ATX,80+ Bronze,650 W,Semi,
351330,137907,ATX,80+ Gold,850 W,Semi,
351331,137908,ATX,80+ Platinum,850 W,Full,
351332,137909,ATX,80+ Gold,750 W,Semi,
351333,137910,ATX,80+ Bronze,630 W,No,Black / Red
351334,137911,ATX,80+ Titanium,800 W,Full,
351335,137912,ATX,80+ Gold,550 W,Semi,
351336,137913,ATX,80+ Bronze,550 W,No,Black
351337,137914,ATX,80+ Platinum,750 W,Full,Black
351338,137915,ATX,,900 W,Full,
351339,137916,ATX,80+ Gold,1475 W,Semi,
351340,137917,ATX,,550 W,No,
351341,137918,ATX,80+ Bronze,1200 W,Semi,
351342,137919,ATX,80+ Bronze,600 W,No,
351343,137920,ATX,,700 W,Full,
351344,137921,ATX,80+ Platinum,450 W,No,
351345,137922,ATX,80+ Bronze,600 W,No,
351346,137923,ATX,80+ Gold,600 W,No,
351347,137924,ATX,80+ Bronze,635 W,Semi,
351348,137925,ATX,80+ Bronze,500 W,No,
351349,137926,ATX,,500 W,No,
351350,137927,ATX,80+ Bronze,650 W,No,
351351,137928,ATX,80+ Bronze,500 W,Semi,
351352,137929,ATX,80+ Bronze,625 W,Full,
351353,137930,ATX,80+ Bronze,650 W,Full,
351354,137931,ATX,80+ Gold,550 W,Semi,Black
351355,137932,ATX,80+ Gold,1050 W,Full,
351356,137933,ATX,80+ Bronze,1000 W,Semi,
351357,137934,ATX,80+ Platinum,650 W,Semi,
351358,137935,EPS,,850 W,No,
351359,137936,ATX,80+ Gold,650 W,Full,
351360,137937,ATX,80+ Bronze,850 W,Semi,
351361,137938,ATX,80+ Gold,700 W,Semi,
351362,137939,ATX,80+ Bronze,600 W,No,
351363,137940,ATX,80+ Silver,700 W,No,
351364,137941,ATX,,900 W,No,
351365,137942,ATX,80+ Gold,700 W,Full,
351366,137943,ATX,80+,750 W,No,
351367,137944,ATX,80+ Silver,750 W,Full,
351368,137945,ATX,80+ Gold,560 W,Full,
351369,137946,ATX,80+ Platinum,650 W,Full,
351370,137947,ATX,80+ Bronze,400 W,Semi,
351371,137948,ATX,80+ Gold,650 W,Semi,
351372,137949,ATX,,400 W,No,
351373,137950,ATX,,475 W,No,
