internal_harddrive_id,product_id,capacity,price_per_gb,harddrive_type,cache,form_factor,interface
300352,115698,250 GB,0.12,7200 RPM,16 MB,3.5 in,SATA 6 Gb/s
300353,115699,2 TB,0.81,SSD,,2.5 in,SATA 6 Gb/s
300354,115700,1 TB,0.22,SSD,,M.2-2280,M.2 (M)
300355,115701,6 TB,0.02,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300356,115702,2 TB,0.07,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300357,115703,2 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300358,115704,8 TB,0.03,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300359,115705,512 GB,0.18,SSD,,M.2-2280,M.2 (B+M)
300360,115706,2 TB,0.19,SSD,2048 MB,M.2-2280,M.2 (B+M)
300361,115707,256 GB,0.2,SSD,,M.2-2280,M.2 (M)
300362,115708,1 TB,,SSD,,2.5 in,SATA 6 Gb/s
300363,115709,3 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300364,115710,120 GB,0.63,SSD,,2.5 in,SATA 6 Gb/s
300365,115711,250 GB,0.24,SSD,,M.2-2280,M.2 (B+M)
300366,115712,120 GB,0.46,SSD,,2.5 in,SATA 6 Gb/s
300367,115713,256 GB,0.19,SSD,,2.5 in,SATA 6 Gb/s
300368,115714,1 TB,0.24,SSD,,M.2-2280,M.2 (M)
300369,115715,4 TB,0.06,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300370,115716,120 GB,0.38,SSD,,2.5 in,SATA 6 Gb/s
300371,115717,6 TB,0.02,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300372,115718,480 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300373,115719,1 TB,0.15,SSD,,M.2-2280,M.2 (M)
300374,115720,960 GB,,SSD,,2.5 in,SATA 6 Gb/s
300375,115721,500 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
300376,115722,1 TB,0.14,SSD,,M.2-2280,M.2 (M)
300377,115723,1 TB,,SSD,,M.2-2280,M.2 (M)
300378,115724,2 TB,0.23,SSD,,M.2-2280,M.2 (M)
300379,115725,960 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300380,115726,1 TB,0.18,SSD,,M.2-2280,M.2 (M)
300381,115727,1 TB,0.05,5400 RPM,8 MB,2.5 in,SATA 6 Gb/s
300382,115728,500 GB,0.14,SSD,,M.2-2280,M.2 (M)
300383,115729,3.2 TB,0.64,SSD,,PCI-E,PCIe x8
300384,115730,1 TB,0.05,5400 RPM,128 MB,2.5 in,SATA 6 Gb/s
300385,115731,1 TB,0.15,SSD,,M.2-2280,M.2 (M)
300386,115732,512 GB,0.29,SSD,512 MB,2.5 in,SATA 6 Gb/s
300387,115733,15.36 TB,0.13,SSD,,2.5 in,SAS 12 Gb/s
300388,115734,2 TB,0.21,SSD,,M.2-2280,M.2 (M)
300389,115735,1 TB,0.5,SSD,1024 MB,M.2-2280,M.2 (M)
300390,115736,240 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300391,115737,1 TB,0.07,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
300392,115738,120 GB,0.31,SSD,,2.5 in,SATA 6 Gb/s
300393,115739,1 TB,,SSD,,2.5 in,SATA 6 Gb/s
300394,115740,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300395,115741,10 TB,0.07,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300396,115742,500 GB,0.26,SSD,,M.2-2280,M.2 (M)
300397,115743,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300398,115744,960 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300399,115745,1 TB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300400,115746,250 GB,0.94,SSD,,2.5 in,SATA 6 Gb/s
300401,115747,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300402,115748,480 GB,0.2,SSD,,2.5 in,SATA 6 Gb/s
300403,115749,128 GB,0.43,SSD,,M.2-2280,M.2 (M)
300404,115750,128 GB,0.24,SSD,,M.2-2280,M.2 (M)
300405,115751,960 GB,1.3,SSD,,PCI-E,PCIe x4
300406,115752,2 TB,0.31,SSD,,M.2-2280,M.2 (M)
300407,115753,500 GB,0.15,SSD,,M.2-2280,M.2 (M)
300408,115754,250 GB,0.19,SSD,,M.2-2280,M.2 (M)
300409,115755,2 TB,0.05,5400 RPM,128 MB,2.5 in,SATA 6 Gb/s
300410,115756,1 TB,0.18,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
300411,115757,1 TB,3.16,SSD,128 MB,3.5 in,SATA 3 Gb/s
300412,115758,2 TB,0.13,SSD,,M.2-2280,M.2 (M)
300413,115759,480 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300414,115760,1 TB,0.07,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
300415,115761,960 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300416,115762,10 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300417,115763,256 GB,0.26,SSD,,M.2-2280,M.2 (M)
300418,115764,2 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300419,115765,512 GB,0.48,SSD,512 MB,M.2-2280,M.2 (M)
300420,115766,120 GB,0.54,SSD,,M.2-2280,M.2 (B+M)
300421,115767,480 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300422,115768,1 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300423,115769,1 TB,0.05,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300424,115770,240 GB,0.25,SSD,,2.5 in,SATA 6 Gb/s
300425,115771,512 GB,0.2,SSD,512 MB,M.2-2280,M.2 (M)
300426,115772,14 TB,0.03,7200 RPM,512 MB,3.5 in,SATA 6 Gb/s
300427,115773,1 TB,0.04,7200 RPM,64 MB,3.5 in,SATA 3 Gb/s
300428,115774,2 TB,0.12,SSD,,M.2-2280,M.2 (M)
300429,115775,960 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300430,115776,4 TB,0.04,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300431,115777,4 TB,0.04,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300432,115778,500 GB,,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
300433,115779,256 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
300434,115780,6 TB,0.02,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300435,115781,500 GB,0.14,SSD,,2.5 in,SATA 6 Gb/s
300436,115782,1 TB,0.05,5400 RPM,128 MB,2.5 in,SATA 6 Gb/s
300437,115783,4 TB,,SSD,,PCI-E,PCIe x8
300438,115784,1 TB,0.14,SSD,,M.2-2280,M.2 (M)
300439,115785,12 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300440,115786,512 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300441,115787,1 TB,0.1,SSD,,2.5 in,SATA 6 Gb/s
300442,115788,500 GB,0.06,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
300443,115789,960 GB,0.2,SSD,,M.2-2280,M.2 (B+M)
300444,115790,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
300445,115791,1 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300446,115792,128 GB,,SSD,,M.2-2280,M.2 (B+M)
300447,115793,1 TB,0.12,SSD,,M.2-2280,M.2 (M)
300448,115794,1 TB,,SSD,,2.5 in,SATA 6 Gb/s
300449,115795,480 GB,0.14,SSD,,2.5 in,SATA 6 Gb/s
300450,115796,480 GB,0.17,SSD,,M.2-2280,M.2 (B+M)
300451,115797,512 GB,0.29,SSD,,M.2-2280,M.2 (M)
300452,115798,480 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300453,115799,1 TB,,SSD,,M.2-2280,M.2 (M)
300454,115800,16 TB,,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300455,115801,2 TB,0.16,SSD,,M.2-2280,M.2 (M)
300456,115802,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300457,115803,480 GB,1.39,SSD,,PCI-E,PCIe x4
300458,115804,1 TB,0.47,SSD,1024 MB,M.2-2280,M.2 (M)
300459,115805,6 TB,0.05,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300460,115806,256 GB,1.08,SSD,,2.5 in,SATA 6 Gb/s
300461,115807,8 TB,0.14,5400 RPM,128 MB,3.5 in,SATA 6 Gb/s
